user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
u366348ctg	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__GCA-002772895;f__GCA-002772895;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__GCA-002772895;f__GCA-002772895;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.07	11	0.84238	N/A
u3708645ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63.64	11	0.80697	N/A
u3920757ctg	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA2591;f__UBA4787;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__UBA2591;f__UBA4787;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	73.03	11	0.76146	N/A
u3942668ctg	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__JBFLZU01;g__JBFLZU01;s__JBFLZU01 sp040756155"	GCA_040756155.1	95	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__JBFLZU01;g__JBFLZU01;s__JBFLZU01 sp040756155"	96.73	0.767	GCA_040756155.1	95	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__JBFLZU01;g__JBFLZU01;s__JBFLZU01 sp040756155"	96.73	0.767	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__;g__;s__"	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	12.81	11	N/A	N/A
u3959121ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	58.96	11	0.7818	N/A
u4000441ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__WO2-44-18;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__WO2-44-18;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	11.95	11	0.79123	N/A
u576938ctg	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JBFMAE01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JBFMAE01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.24	11	0.88148	N/A
u579948ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.67	11	0.80557	N/A
u598261ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	31.08	11	0.79138	N/A
u598341ctg	"d__Bacteria;p__Patescibacteriota;c__WWE3;o__UBA101185;f__UBA10185;g__JAAZNL01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__WWE3;o__UBA101185;f__UBA10185;g__JAAZNL01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	66.82	11	0.86922	N/A
u646294ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__JAMCYU01;f__JAMCYU01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__JAMCYU01;f__JAMCYU01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	61.85	11	0.77672	N/A
u651212ctg	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__9FT-COMBO-48-23;s__"	N/A	N/A	N/A	N/A	N/A	GCA_016783155.1	95	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp016783155"	83.27	0.154	"d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__9FT-COMBO-48-23;s__"	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	86.62	11	0.95206	N/A
u735446ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GWA2-46-15;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GWA2-46-15;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	64.1	11	0.82266	N/A
u749713ctg	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__JBFLZU01;g__JBFLZU01;s__JBFLZU01 sp040756155"	GCA_040756155.1	95	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__JBFLZU01;g__JBFLZU01;s__JBFLZU01 sp040756155"	96.71	0.737	GCA_040756155.1	95	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__JBFLZU01;g__JBFLZU01;s__JBFLZU01 sp040756155"	96.71	0.737	"d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__JACRGW01;f__;g__;s__"	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	47	11	N/A	N/A
u749886ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UM-FILTER-39-15;f__UM-FILTER-39-15;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__UM-FILTER-39-15;f__UM-FILTER-39-15;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	58	11	0.69621	N/A
u771575ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__CG1-02-41-26;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__CG1-02-41-26;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	23.23	11	0.74588	N/A
u785650ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__;g__;s__"	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	65.57	11	0.64256	N/A
u811210ctg	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JASEJS01;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__JASEJS01;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	44.54	11	0.83407	N/A
u88731ctg	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Omnitrophota;c__Koll11;o__Gygaellales;f__Profunditerraquicolaceae;g__;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.51	11	0.87769	N/A
u909971ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
u910645ctg	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
u915804ctg	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.2%)
u920218ctg	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__JAPLZT01;s__"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__JAPLZT01;s__"	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	56.63	11	0.94492	N/A
u93406ctg	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
